"Notes","MMWR Week","MMWR Week Code",Deaths,Population,Crude Rate
,"2018 Week 01 ending January 06, 2018","2018/01",385,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02",413,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03",442,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04",496,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05",479,Not Applicable,Not Applicable
,"2018 Week 06 ending February 10, 2018","2018/06",432,Not Applicable,Not Applicable
,"2018 Week 07 ending February 17, 2018","2018/07",455,Not Applicable,Not Applicable
,"2018 Week 08 ending February 24, 2018","2018/08",429,Not Applicable,Not Applicable
,"2018 Week 09 ending March 03, 2018","2018/09",409,Not Applicable,Not Applicable
,"2018 Week 10 ending March 10, 2018","2018/10",451,Not Applicable,Not Applicable
,"2018 Week 11 ending March 17, 2018","2018/11",415,Not Applicable,Not Applicable
,"2018 Week 12 ending March 24, 2018","2018/12",450,Not Applicable,Not Applicable
,"2018 Week 13 ending March 31, 2018","2018/13",411,Not Applicable,Not Applicable
,"2018 Week 14 ending April 07, 2018","2018/14",408,Not Applicable,Not Applicable
,"2018 Week 15 ending April 14, 2018","2018/15",394,Not Applicable,Not Applicable
,"2018 Week 16 ending April 21, 2018","2018/16",454,Not Applicable,Not Applicable
,"2018 Week 17 ending April 28, 2018","2018/17",404,Not Applicable,Not Applicable
,"2018 Week 18 ending May 05, 2018","2018/18",414,Not Applicable,Not Applicable
,"2018 Week 19 ending May 12, 2018","2018/19",456,Not Applicable,Not Applicable
,"2018 Week 20 ending May 19, 2018","2018/20",392,Not Applicable,Not Applicable
,"2018 Week 21 ending May 26, 2018","2018/21",403,Not Applicable,Not Applicable
,"2018 Week 22 ending June 02, 2018","2018/22",413,Not Applicable,Not Applicable
,"2018 Week 23 ending June 09, 2018","2018/23",392,Not Applicable,Not Applicable
,"2018 Week 24 ending June 16, 2018","2018/24",401,Not Applicable,Not Applicable
,"2018 Week 25 ending June 23, 2018","2018/25",422,Not Applicable,Not Applicable
,"2018 Week 26 ending June 30, 2018","2018/26",390,Not Applicable,Not Applicable
,"2018 Week 27 ending July 07, 2018","2018/27",447,Not Applicable,Not Applicable
,"2018 Week 28 ending July 14, 2018","2018/28",431,Not Applicable,Not Applicable
,"2018 Week 29 ending July 21, 2018","2018/29",407,Not Applicable,Not Applicable
,"2018 Week 30 ending July 28, 2018","2018/30",423,Not Applicable,Not Applicable
,"2018 Week 31 ending August 04, 2018","2018/31",387,Not Applicable,Not Applicable
,"2018 Week 32 ending August 11, 2018","2018/32",389,Not Applicable,Not Applicable
,"2018 Week 33 ending August 18, 2018","2018/33",411,Not Applicable,Not Applicable
,"2018 Week 34 ending August 25, 2018","2018/34",444,Not Applicable,Not Applicable
,"2018 Week 35 ending September 01, 2018","2018/35",426,Not Applicable,Not Applicable
,"2018 Week 36 ending September 08, 2018","2018/36",420,Not Applicable,Not Applicable
,"2018 Week 37 ending September 15, 2018","2018/37",424,Not Applicable,Not Applicable
,"2018 Week 38 ending September 22, 2018","2018/38",458,Not Applicable,Not Applicable
,"2018 Week 39 ending September 29, 2018","2018/39",448,Not Applicable,Not Applicable
,"2018 Week 40 ending October 06, 2018","2018/40",423,Not Applicable,Not Applicable
,"2018 Week 41 ending October 13, 2018","2018/41",428,Not Applicable,Not Applicable
,"2018 Week 42 ending October 20, 2018","2018/42",440,Not Applicable,Not Applicable
,"2018 Week 43 ending October 27, 2018","2018/43",436,Not Applicable,Not Applicable
,"2018 Week 44 ending November 03, 2018","2018/44",428,Not Applicable,Not Applicable
,"2018 Week 45 ending November 10, 2018","2018/45",414,Not Applicable,Not Applicable
,"2018 Week 46 ending November 17, 2018","2018/46",430,Not Applicable,Not Applicable
,"2018 Week 47 ending November 24, 2018","2018/47",407,Not Applicable,Not Applicable
,"2018 Week 48 ending December 01, 2018","2018/48",385,Not Applicable,Not Applicable
,"2018 Week 49 ending December 08, 2018","2018/49",405,Not Applicable,Not Applicable
,"2018 Week 50 ending December 15, 2018","2018/50",402,Not Applicable,Not Applicable
,"2018 Week 51 ending December 22, 2018","2018/51",406,Not Applicable,Not Applicable
,"2018 Week 52 ending December 29, 2018","2018/52",430,Not Applicable,Not Applicable
,"2019 Week 01 ending January 05, 2019","2019/01",409,Not Applicable,Not Applicable
,"2019 Week 02 ending January 12, 2019","2019/02",389,Not Applicable,Not Applicable
,"2019 Week 03 ending January 19, 2019","2019/03",403,Not Applicable,Not Applicable
,"2019 Week 04 ending January 26, 2019","2019/04",382,Not Applicable,Not Applicable
,"2019 Week 05 ending February 02, 2019","2019/05",415,Not Applicable,Not Applicable
,"2019 Week 06 ending February 09, 2019","2019/06",439,Not Applicable,Not Applicable
,"2019 Week 07 ending February 16, 2019","2019/07",418,Not Applicable,Not Applicable
,"2019 Week 08 ending February 23, 2019","2019/08",414,Not Applicable,Not Applicable
,"2019 Week 09 ending March 02, 2019","2019/09",464,Not Applicable,Not Applicable
,"2019 Week 10 ending March 09, 2019","2019/10",429,Not Applicable,Not Applicable
,"2019 Week 11 ending March 16, 2019","2019/11",413,Not Applicable,Not Applicable
,"2019 Week 12 ending March 23, 2019","2019/12",433,Not Applicable,Not Applicable
,"2019 Week 13 ending March 30, 2019","2019/13",412,Not Applicable,Not Applicable
,"2019 Week 14 ending April 06, 2019","2019/14",390,Not Applicable,Not Applicable
,"2019 Week 15 ending April 13, 2019","2019/15",424,Not Applicable,Not Applicable
,"2019 Week 16 ending April 20, 2019","2019/16",428,Not Applicable,Not Applicable
,"2019 Week 17 ending April 27, 2019","2019/17",399,Not Applicable,Not Applicable
,"2019 Week 18 ending May 04, 2019","2019/18",429,Not Applicable,Not Applicable
,"2019 Week 19 ending May 11, 2019","2019/19",411,Not Applicable,Not Applicable
,"2019 Week 20 ending May 18, 2019","2019/20",423,Not Applicable,Not Applicable
,"2019 Week 21 ending May 25, 2019","2019/21",415,Not Applicable,Not Applicable
,"2019 Week 22 ending June 01, 2019","2019/22",439,Not Applicable,Not Applicable
,"2019 Week 23 ending June 08, 2019","2019/23",427,Not Applicable,Not Applicable
,"2019 Week 24 ending June 15, 2019","2019/24",435,Not Applicable,Not Applicable
,"2019 Week 25 ending June 22, 2019","2019/25",384,Not Applicable,Not Applicable
,"2019 Week 26 ending June 29, 2019","2019/26",418,Not Applicable,Not Applicable
,"2019 Week 27 ending July 06, 2019","2019/27",388,Not Applicable,Not Applicable
,"2019 Week 28 ending July 13, 2019","2019/28",383,Not Applicable,Not Applicable
,"2019 Week 29 ending July 20, 2019","2019/29",402,Not Applicable,Not Applicable
,"2019 Week 30 ending July 27, 2019","2019/30",423,Not Applicable,Not Applicable
,"2019 Week 31 ending August 03, 2019","2019/31",379,Not Applicable,Not Applicable
,"2019 Week 32 ending August 10, 2019","2019/32",417,Not Applicable,Not Applicable
,"2019 Week 33 ending August 17, 2019","2019/33",418,Not Applicable,Not Applicable
,"2019 Week 34 ending August 24, 2019","2019/34",403,Not Applicable,Not Applicable
,"2019 Week 35 ending August 31, 2019","2019/35",389,Not Applicable,Not Applicable
,"2019 Week 36 ending September 07, 2019","2019/36",401,Not Applicable,Not Applicable
,"2019 Week 37 ending September 14, 2019","2019/37",402,Not Applicable,Not Applicable
,"2019 Week 38 ending September 21, 2019","2019/38",422,Not Applicable,Not Applicable
,"2019 Week 39 ending September 28, 2019","2019/39",385,Not Applicable,Not Applicable
,"2019 Week 40 ending October 05, 2019","2019/40",390,Not Applicable,Not Applicable
,"2019 Week 41 ending October 12, 2019","2019/41",394,Not Applicable,Not Applicable
,"2019 Week 42 ending October 19, 2019","2019/42",425,Not Applicable,Not Applicable
,"2019 Week 43 ending October 26, 2019","2019/43",385,Not Applicable,Not Applicable
,"2019 Week 44 ending November 02, 2019","2019/44",360,Not Applicable,Not Applicable
,"2019 Week 45 ending November 09, 2019","2019/45",412,Not Applicable,Not Applicable
,"2019 Week 46 ending November 16, 2019","2019/46",436,Not Applicable,Not Applicable
,"2019 Week 47 ending November 23, 2019","2019/47",414,Not Applicable,Not Applicable
,"2019 Week 48 ending November 30, 2019","2019/48",401,Not Applicable,Not Applicable
,"2019 Week 49 ending December 07, 2019","2019/49",394,Not Applicable,Not Applicable
,"2019 Week 50 ending December 14, 2019","2019/50",428,Not Applicable,Not Applicable
,"2019 Week 51 ending December 21, 2019","2019/51",414,Not Applicable,Not Applicable
,"2019 Week 52 ending December 28, 2019","2019/52",406,Not Applicable,Not Applicable
,"2020 Week 01 ending January 04, 2020","2020/01",431,Not Applicable,Not Applicable
,"2020 Week 02 ending January 11, 2020","2020/02",427,Not Applicable,Not Applicable
,"2020 Week 03 ending January 18, 2020","2020/03",446,Not Applicable,Not Applicable
,"2020 Week 04 ending January 25, 2020","2020/04",418,Not Applicable,Not Applicable
,"2020 Week 05 ending February 01, 2020","2020/05",414,Not Applicable,Not Applicable
,"2020 Week 06 ending February 08, 2020","2020/06",461,Not Applicable,Not Applicable
,"2020 Week 07 ending February 15, 2020","2020/07",412,Not Applicable,Not Applicable
,"2020 Week 08 ending February 22, 2020","2020/08",395,Not Applicable,Not Applicable
,"2020 Week 09 ending February 29, 2020","2020/09",450,Not Applicable,Not Applicable
,"2020 Week 10 ending March 07, 2020","2020/10",389,Not Applicable,Not Applicable
,"2020 Week 11 ending March 14, 2020","2020/11",382,Not Applicable,Not Applicable
,"2020 Week 12 ending March 21, 2020","2020/12",414,Not Applicable,Not Applicable
,"2020 Week 13 ending March 28, 2020","2020/13",396,Not Applicable,Not Applicable
,"2020 Week 14 ending April 04, 2020","2020/14",344,Not Applicable,Not Applicable
,"2020 Week 15 ending April 11, 2020","2020/15",384,Not Applicable,Not Applicable
,"2020 Week 16 ending April 18, 2020","2020/16",345,Not Applicable,Not Applicable
