Notes,Five-Year Age Groups,Five-Year Age Groups Code,Year,Year Code,Month,Month Code,Deaths
,< 1 year,1,2015,2015,"Jan., 2015",2015/01,2018
,< 1 year,1,2015,2015,"Feb., 2015",2015/02,1855
,< 1 year,1,2015,2015,"Mar., 2015",2015/03,2021
,< 1 year,1,2015,2015,"Apr., 2015",2015/04,1960
,< 1 year,1,2015,2015,"May, 2015",2015/05,1975
,< 1 year,1,2015,2015,"Jun., 2015",2015/06,2013
,< 1 year,1,2015,2015,"Jul., 2015",2015/07,1977
,< 1 year,1,2015,2015,"Aug., 2015",2015/08,1987
,< 1 year,1,2015,2015,"Sep., 2015",2015/09,1958
,< 1 year,1,2015,2015,"oct., 2015",2015/10,1913
,< 1 year,1,2015,2015,"nov., 2015",2015/11,1816
,< 1 year,1,2015,2015,"Dec., 2015",2015/12,1962
Total,< 1 year,1,2015,2015,,,23455
,< 1 year,1,2016,2016,"Jan., 2016",2016/01,1932
,< 1 year,1,2016,2016,"Feb., 2016",2016/02,1894
,< 1 year,1,2016,2016,"Mar., 2016",2016/03,2011
,< 1 year,1,2016,2016,"Apr., 2016",2016/04,1889
,< 1 year,1,2016,2016,"May, 2016",2016/05,1951
,< 1 year,1,2016,2016,"Jun., 2016",2016/06,1945
,< 1 year,1,2016,2016,"Jul., 2016",2016/07,1935
,< 1 year,1,2016,2016,"Aug., 2016",2016/08,1972
,< 1 year,1,2016,2016,"Sep., 2016",2016/09,1931
,< 1 year,1,2016,2016,"oct., 2016",2016/10,1971
,< 1 year,1,2016,2016,"nov., 2016",2016/11,1836
,< 1 year,1,2016,2016,"Dec., 2016",2016/12,1894
Total,< 1 year,1,2016,2016,,,23161
,< 1 year,1,2017,2017,"Jan., 2017",2017/01,1887
,< 1 year,1,2017,2017,"Feb., 2017",2017/02,1714
,< 1 year,1,2017,2017,"Mar., 2017",2017/03,1901
,< 1 year,1,2017,2017,"Apr., 2017",2017/04,1880
,< 1 year,1,2017,2017,"May, 2017",2017/05,1879
,< 1 year,1,2017,2017,"Jun., 2017",2017/06,1967
,< 1 year,1,2017,2017,"Jul., 2017",2017/07,1780
,< 1 year,1,2017,2017,"Aug., 2017",2017/08,1896
,< 1 year,1,2017,2017,"Sep., 2017",2017/09,1906
,< 1 year,1,2017,2017,"oct., 2017",2017/10,1880
,< 1 year,1,2017,2017,"nov., 2017",2017/11,1798
,< 1 year,1,2017,2017,"Dec., 2017",2017/12,1847
Total,< 1 year,1,2017,2017,,,22335
,< 1 year,1,2018,2018,"Jan., 2018",2018/01,1900
,< 1 year,1,2018,2018,"Feb., 2018",2018/02,1657
,< 1 year,1,2018,2018,"Mar., 2018",2018/03,1872
,< 1 year,1,2018,2018,"Apr., 2018",2018/04,1756
,< 1 year,1,2018,2018,"May, 2018",2018/05,1785
,< 1 year,1,2018,2018,"Jun., 2018",2018/06,1707
,< 1 year,1,2018,2018,"Jul., 2018",2018/07,1826
,< 1 year,1,2018,2018,"Aug., 2018",2018/08,1813
,< 1 year,1,2018,2018,"Sep., 2018",2018/09,1830
,< 1 year,1,2018,2018,"oct., 2018",2018/10,1858
,< 1 year,1,2018,2018,"nov., 2018",2018/11,1724
,< 1 year,1,2018,2018,"Dec., 2018",2018/12,1739
Total,< 1 year,1,2018,2018,,,21467
,< 1 year,1,2019,2019,"Jan., 2019",2019/01,1706
,< 1 year,1,2019,2019,"Feb., 2019",2019/02,1635
,< 1 year,1,2019,2019,"Mar., 2019",2019/03,1838
,< 1 year,1,2019,2019,"Apr., 2019",2019/04,1734
,< 1 year,1,2019,2019,"May, 2019",2019/05,1800
,< 1 year,1,2019,2019,"Jun., 2019",2019/06,1783
,< 1 year,1,2019,2019,"Jul., 2019",2019/07,1768
