"MotherAgeGroup","Births","Share"
"Under 15",37979,0.0639506695994944
"15-19",3310896,5.57502873099049
"20-24",11942405,20.1091338997433
"25-29",16861417,28.3919773439611
"30-34",16712439,28.1411217960111
"35-39",8516808,14.3409667039767
"40-44",1862478,3.13612036162951
"45-49",129500,0.218057655892323
"50+",14041,0.0236428381960163
