Notes,Five-Year Age Groups,Five-Year Age Groups Code,Year,Year Code,Month,Month Code,Deaths
,5-9 years,5-9,2021,2021,"Jul., 2021",2021/07,226
,5-9 years,5-9,2021,2021,"Aug., 2021",2021/08,228
,5-9 years,5-9,2021,2021,"Sep., 2021",2021/09,184
,5-9 years,5-9,2021,2021,"oct., 2021",2021/10,175
,5-9 years,5-9,2021,2021,"nov., 2021",2021/11,210
,5-9 years,5-9,2021,2021,"Dec., 2021",2021/12,231
Total,5-9 years,5-9,2021,2021,,,2406
,5-9 years,5-9,2022,2022,"Jan., 2022",2022/01,187
,5-9 years,5-9,2022,2022,"Feb., 2022",2022/02,188
,5-9 years,5-9,2022,2022,"Mar., 2022",2022/03,183
,5-9 years,5-9,2022,2022,"Apr., 2022",2022/04,199
,5-9 years,5-9,2022,2022,"May, 2022",2022/05,230
,5-9 years,5-9,2022,2022,"Jun., 2022",2022/06,236
,5-9 years,5-9,2022,2022,"Jul., 2022",2022/07,245
,5-9 years,5-9,2022,2022,"Aug., 2022",2022/08,180
,5-9 years,5-9,2022,2022,"Sep., 2022",2022/09,226
,5-9 years,5-9,2022,2022,"oct., 2022",2022/10,212
,5-9 years,5-9,2022,2022,"nov., 2022",2022/11,237
,5-9 years,5-9,2022,2022,"Dec., 2022",2022/12,244
Total,5-9 years,5-9,2022,2022,,,2567
,5-9 years,5-9,2023,2023,"Jan., 2023 ",2023/01,212
,5-9 years,5-9,2023,2023,"Feb., 2023 ",2023/02,189
,5-9 years,5-9,2023,2023,"Mar., 2023 ",2023/03,235
,5-9 years,5-9,2023,2023,"Apr., 2023 ",2023/04,221
,5-9 years,5-9,2023,2023,"May, 2023 ",2023/05,197
,5-9 years,5-9,2023,2023,"Jun., 2023 ",2023/06,219
,5-9 years,5-9,2023,2023,"Jul., 2023 ",2023/07,214
,5-9 years,5-9,2023,2023,"Aug., 2023 ",2023/08,201
,5-9 years,5-9,2023,2023,"Sep., 2023 ",2023/09,178
,5-9 years,5-9,2023,2023,"oct., 2023",2023/10,210
,5-9 years,5-9,2023,2023,"nov., 2023",2023/11,199
,5-9 years,5-9,2023,2023,"Dec., 2023 ",2023/12,227
Total,5-9 years,5-9,2023,2023,,,2502
Total,5-9 years,5-9,,,,,7475
,10-14 years,10-14,2021,2021,"Jan., 2021",2021/01,256
,10-14 years,10-14,2021,2021,"Feb., 2021",2021/02,267
,10-14 years,10-14,2021,2021,"Mar., 2021",2021/03,306
,10-14 years,10-14,2021,2021,"Apr., 2021",2021/04,260
,10-14 years,10-14,2021,2021,"May, 2021",2021/05,304
,10-14 years,10-14,2021,2021,"Jun., 2021",2021/06,358
,10-14 years,10-14,2021,2021,"Jul., 2021",2021/07,310
,10-14 years,10-14,2021,2021,"Aug., 2021",2021/08,308
,10-14 years,10-14,2021,2021,"Sep., 2021",2021/09,306
,10-14 years,10-14,2021,2021,"oct., 2021",2021/10,299
,10-14 years,10-14,2021,2021,"nov., 2021",2021/11,282
,10-14 years,10-14,2021,2021,"Dec., 2021",2021/12,313
Total,10-14 years,10-14,2021,2021,,,3569
,10-14 years,10-14,2022,2022,"Jan., 2022",2022/01,300
,10-14 years,10-14,2022,2022,"Feb., 2022",2022/02,265
,10-14 years,10-14,2022,2022,"Mar., 2022",2022/03,312
,10-14 years,10-14,2022,2022,"Apr., 2022",2022/04,289
,10-14 years,10-14,2022,2022,"May, 2022",2022/05,316
,10-14 years,10-14,2022,2022,"Jun., 2022",2022/06,303
,10-14 years,10-14,2022,2022,"Jul., 2022",2022/07,347
,10-14 years,10-14,2022,2022,"Aug., 2022",2022/08,329
,10-14 years,10-14,2022,2022,"Sep., 2022",2022/09,256
,10-14 years,10-14,2022,2022,"oct., 2022",2022/10,314
,10-14 years,10-14,2022,2022,"nov., 2022",2022/11,308
,10-14 years,10-14,2022,2022,"Dec., 2022",2022/12,333
Total,10-14 years,10-14,2022,2022,,,3672
,10-14 years,10-14,2023,2023,"Jan., 2023 ",2023/01,291
,10-14 years,10-14,2023,2023,"Feb., 2023 ",2023/02,295
,10-14 years,10-14,2023,2023,"Mar., 2023 ",2023/03,288
,10-14 years,10-14,2023,2023,"Apr., 2023 ",2023/04,294
,10-14 years,10-14,2023,2023,"May, 2023 ",2023/05,320
,10-14 years,10-14,2023,2023,"Jun., 2023 ",2023/06,279
,10-14 years,10-14,2023,2023,"Jul., 2023 ",2023/07,315
,10-14 years,10-14,2023,2023,"Aug., 2023 ",2023/08,288
,10-14 years,10-14,2023,2023,"Sep., 2023 ",2023/09,283
,10-14 years,10-14,2023,2023,"oct., 2023",2023/10,271
,10-14 years,10-14,2023,2023,"nov., 2023",2023/11,269
,10-14 years,10-14,2023,2023,"Dec., 2023 ",2023/12,310
Total,10-14 years,10-14,2023,2023,,,3503
Total,10-14 years,10-14,,,,,10744
,15-19 years,15-19,2021,2021,"Jan., 2021",2021/01,1047
,15-19 years,15-19,2021,2021,"Feb., 2021",2021/02,900
,15-19 years,15-19,2021,2021,"Mar., 2021",2021/03,1095
,15-19 years,15-19,2021,2021,"Apr., 2021",2021/04,1105
,15-19 years,15-19,2021,2021,"May, 2021",2021/05,1161
,15-19 years,15-19,2021,2021,"Jun., 2021",2021/06,1218
,15-19 years,15-19,2021,2021,"Jul., 2021",2021/07,1181
,15-19 years,15-19,2021,2021,"Aug., 2021",2021/08,1149
,15-19 years,15-19,2021,2021,"Sep., 2021",2021/09,1168
,15-19 years,15-19,2021,2021,"oct., 2021",2021/10,1218
,15-19 years,15-19,2021,2021,"nov., 2021",2021/11,1075
,15-19 years,15-19,2021,2021,"Dec., 2021",2021/12,1090
Total,15-19 years,15-19,2021,2021,,,13407
,15-19 years,15-19,2022,2022,"Jan., 2022",2022/01,992
,15-19 years,15-19,2022,2022,"Feb., 2022",2022/02,984
,15-19 years,15-19,2022,2022,"Mar., 2022",2022/03,1033
,15-19 years,15-19,2022,2022,"Apr., 2022",2022/04,963
,15-19 years,15-19,2022,2022,"May, 2022",2022/05,1093
,15-19 years,15-19,2022,2022,"Jun., 2022",2022/06,1084
,15-19 years,15-19,2022,2022,"Jul., 2022",2022/07,1126
,15-19 years,15-19,2022,2022,"Aug., 2022",2022/08,1154
,15-19 years,15-19,2022,2022,"Sep., 2022",2022/09,1059
,15-19 years,15-19,2022,2022,"oct., 2022",2022/10,1121
,15-19 years,15-19,2022,2022,"nov., 2022",2022/11,1085
,15-19 years,15-19,2022,2022,"Dec., 2022",2022/12,1051
Total,15-19 years,15-19,2022,2022,,,12745
,15-19 years,15-19,2023,2023,"Jan., 2023 ",2023/01,1136
,15-19 years,15-19,2023,2023,"Feb., 2023 ",2023/02,922
,15-19 years,15-19,2023,2023,"Mar., 2023 ",2023/03,1014
,15-19 years,15-19,2023,2023,"Apr., 2023 ",2023/04,1085
,15-19 years,15-19,2023,2023,"May, 2023 ",2023/05,1140
,15-19 years,15-19,2023,2023,"Jun., 2023 ",2023/06,1201
,15-19 years,15-19,2023,2023,"Jul., 2023 ",2023/07,1134
,15-19 years,15-19,2023,2023,"Aug., 2023 ",2023/08,1132
,15-19 years,15-19,2023,2023,"Sep., 2023 ",2023/09,959
,15-19 years,15-19,2023,2023,"oct., 2023",2023/10,1094
,15-19 years,15-19,2023,2023,"nov., 2023",2023/11,958
,15-19 years,15-19,2023,2023,"Dec., 2023 ",2023/12,1002
Total,15-19 years,15-19,2023,2023,,,12777
Total,15-19 years,15-19,,,,,38929
,20-24 years,20-24,2021,2021,"Jan., 2021",2021/01,2051
,20-24 years,20-24,2021,2021,"Feb., 2021",2021/02,1745
,20-24 years,20-24,2021,2021,"Mar., 2021",2021/03,2007
,20-24 years,20-24,2021,2021,"Apr., 2021",2021/04,2039
,20-24 years,20-24,2021,2021,"May, 2021",2021/05,2218
,20-24 years,20-24,2021,2021,"Jun., 2021",2021/06,2098
,20-24 years,20-24,2021,2021,"Jul., 2021",2021/07,2162
,20-24 years,20-24,2021,2021,"Aug., 2021",2021/08,2225
,20-24 years,20-24,2021,2021,"Sep., 2021",2021/09,2218
,20-24 years,20-24,2021,2021,"oct., 2021",2021/10,2199
,20-24 years,20-24,2021,2021,"nov., 2021",2021/11,1919
,20-24 years,20-24,2021,2021,"Dec., 2021",2021/12,2019
Total,20-24 years,20-24,2021,2021,,,24900
,20-24 years,20-24,2022,2022,"Jan., 2022",2022/01,2066
,20-24 years,20-24,2022,2022,"Feb., 2022",2022/02,1766
,20-24 years,20-24,2022,2022,"Mar., 2022",2022/03,1834
,20-24 years,20-24,2022,2022,"Apr., 2022",2022/04,1760
,20-24 years,20-24,2022,2022,"May, 2022",2022/05,1957
,20-24 years,20-24,2022,2022,"Jun., 2022",2022/06,1968
,20-24 years,20-24,2022,2022,"Jul., 2022",2022/07,2037
,20-24 years,20-24,2022,2022,"Aug., 2022",2022/08,1842
,20-24 years,20-24,2022,2022,"Sep., 2022",2022/09,1797
,20-24 years,20-24,2022,2022,"oct., 2022",2022/10,1877
,20-24 years,20-24,2022,2022,"nov., 2022",2022/11,1744
,20-24 years,20-24,2022,2022,"Dec., 2022",2022/12,1839
Total,20-24 years,20-24,2022,2022,,,22487
,20-24 years,20-24,2023,2023,"Jan., 2023 ",2023/01,1776
,20-24 years,20-24,2023,2023,"Feb., 2023 ",2023/02,1601
,20-24 years,20-24,2023,2023,"Mar., 2023 ",2023/03,1755
,20-24 years,20-24,2023,2023,"Apr., 2023 ",2023/04,1837
,20-24 years,20-24,2023,2023,"May, 2023 ",2023/05,1886
,20-24 years,20-24,2023,2023,"Jun., 2023 ",2023/06,1771
,20-24 years,20-24,2023,2023,"Jul., 2023 ",2023/07,1877
,20-24 years,20-24,2023,2023,"Aug., 2023 ",2023/08,1852
,20-24 years,20-24,2023,2023,"Sep., 2023 ",2023/09,1730
,20-24 years,20-24,2023,2023,"oct., 2023",2023/10,1659
,20-24 years,20-24,2023,2023,"nov., 2023",2023/11,1599
,20-24 years,20-24,2023,2023,"Dec., 2023 ",2023/12,1591
Total,20-24 years,20-24,2023,2023,,,20934
Total,20-24 years,20-24,,,,,68321
,25-29 years,25-29,2021,2021,"Jan., 2021",2021/01,2993
,25-29 years,25-29,2021,2021,"Feb., 2021",2021/02,2490
,25-29 years,25-29,2021,2021,"Mar., 2021",2021/03,2807
,25-29 years,25-29,2021,2021,"Apr., 2021",2021/04,2776
,25-29 years,25-29,2021,2021,"May, 2021",2021/05,2943
,25-29 years,25-29,2021,2021,"Jun., 2021",2021/06,2842
,25-29 years,25-29,2021,2021,"Jul., 2021",2021/07,2963
,25-29 years,25-29,2021,2021,"Aug., 2021",2021/08,3440
,25-29 years,25-29,2021,2021,"Sep., 2021",2021/09,3315
,25-29 years,25-29,2021,2021,"oct., 2021",2021/10,3060
,25-29 years,25-29,2021,2021,"nov., 2021",2021/11,2720
,25-29 years,25-29,2021,2021,"Dec., 2021",2021/12,2846
Total,25-29 years,25-29,2021,2021,,,35195
,25-29 years,25-29,2022,2022,"Jan., 2022",2022/01,2916
,25-29 years,25-29,2022,2022,"Feb., 2022",2022/02,2478
,25-29 years,25-29,2022,2022,"Mar., 2022",2022/03,2671
,25-29 years,25-29,2022,2022,"Apr., 2022",2022/04,2500
,25-29 years,25-29,2022,2022,"May, 2022",2022/05,2619
,25-29 years,25-29,2022,2022,"Jun., 2022",2022/06,2574
,25-29 years,25-29,2022,2022,"Jul., 2022",2022/07,2715
,25-29 years,25-29,2022,2022,"Aug., 2022",2022/08,2717
,25-29 years,25-29,2022,2022,"Sep., 2022",2022/09,2498
,25-29 years,25-29,2022,2022,"oct., 2022",2022/10,2531
,25-29 years,25-29,2022,2022,"nov., 2022",2022/11,2459
,25-29 years,25-29,2022,2022,"Dec., 2022",2022/12,2617
Total,25-29 years,25-29,2022,2022,,,31295
,25-29 years,25-29,2023,2023,"Jan., 2023 ",2023/01,2493
,25-29 years,25-29,2023,2023,"Feb., 2023 ",2023/02,2144
,25-29 years,25-29,2023,2023,"Mar., 2023 ",2023/03,2355
,25-29 years,25-29,2023,2023,"Apr., 2023 ",2023/04,2365
,25-29 years,25-29,2023,2023,"May, 2023 ",2023/05,2517
,25-29 years,25-29,2023,2023,"Jun., 2023 ",2023/06,2317
,25-29 years,25-29,2023,2023,"Jul., 2023 ",2023/07,2489
,25-29 years,25-29,2023,2023,"Aug., 2023 ",2023/08,2403
,25-29 years,25-29,2023,2023,"Sep., 2023 ",2023/09,2215
,25-29 years,25-29,2023,2023,"oct., 2023",2023/10,2215
,25-29 years,25-29,2023,2023,"nov., 2023",2023/11,2129
,25-29 years,25-29,2023,2023,"Dec., 2023 ",2023/12,2133
Total,25-29 years,25-29,2023,2023,,,27775
Total,25-29 years,25-29,,,,,94265
,30-34 years,30-34,2021,2021,"Jan., 2021",2021/01,3876
,30-34 years,30-34,2021,2021,"Feb., 2021",2021/02,3256
,30-34 years,30-34,2021,2021,"Mar., 2021",2021/03,3537
,30-34 years,30-34,2021,2021,"Apr., 2021",2021/04,3622
,30-34 years,30-34,2021,2021,"May, 2021",2021/05,3799
,30-34 years,30-34,2021,2021,"Jun., 2021",2021/06,3708
,30-34 years,30-34,2021,2021,"Jul., 2021",2021/07,3957
,30-34 years,30-34,2021,2021,"Aug., 2021",2021/08,4639
,30-34 years,30-34,2021,2021,"Sep., 2021",2021/09,4644
,30-34 years,30-34,2021,2021,"oct., 2021",2021/10,4219
,30-34 years,30-34,2021,2021,"nov., 2021",2021/11,3756
,30-34 years,30-34,2021,2021,"Dec., 2021",2021/12,4066
Total,30-34 years,30-34,2021,2021,,,47079
,30-34 years,30-34,2022,2022,"Jan., 2022",2022/01,4216
,30-34 years,30-34,2022,2022,"Feb., 2022",2022/02,3401
,30-34 years,30-34,2022,2022,"Mar., 2022",2022/03,3620
,30-34 years,30-34,2022,2022,"Apr., 2022",2022/04,3406
,30-34 years,30-34,2022,2022,"May, 2022",2022/05,3443
,30-34 years,30-34,2022,2022,"Jun., 2022",2022/06,3514
,30-34 years,30-34,2022,2022,"Jul., 2022",2022/07,3763
,30-34 years,30-34,2022,2022,"Aug., 2022",2022/08,3632
,30-34 years,30-34,2022,2022,"Sep., 2022",2022/09,3495
,30-34 years,30-34,2022,2022,"oct., 2022",2022/10,3533
,30-34 years,30-34,2022,2022,"nov., 2022",2022/11,3361
,30-34 years,30-34,2022,2022,"Dec., 2022",2022/12,3690
Total,30-34 years,30-34,2022,2022,,,43074
,30-34 years,30-34,2023,2023,"Jan., 2023 ",2023/01,3473
,30-34 years,30-34,2023,2023,"Feb., 2023 ",2023/02,3090
,30-34 years,30-34,2023,2023,"Mar., 2023 ",2023/03,3486
,30-34 years,30-34,2023,2023,"Apr., 2023 ",2023/04,3212
,30-34 years,30-34,2023,2023,"May, 2023 ",2023/05,3390
,30-34 years,30-34,2023,2023,"Jun., 2023 ",2023/06,3284
,30-34 years,30-34,2023,2023,"Jul., 2023 ",2023/07,3582
,30-34 years,30-34,2023,2023,"Aug., 2023 ",2023/08,3403
,30-34 years,30-34,2023,2023,"Sep., 2023 ",2023/09,3210
,30-34 years,30-34,2023,2023,"oct., 2023",2023/10,3200
,30-34 years,30-34,2023,2023,"nov., 2023",2023/11,3033
,30-34 years,30-34,2023,2023,"Dec., 2023 ",2023/12,3311
Total,30-34 years,30-34,2023,2023,,,39674
Total,30-34 years,30-34,,,,,129827
,35-39 years,35-39,2021,2021,"Jan., 2021",2021/01,4790
,35-39 years,35-39,2021,2021,"Feb., 2021",2021/02,3932
,35-39 years,35-39,2021,2021,"Mar., 2021",2021/03,4203
,35-39 years,35-39,2021,2021,"Apr., 2021",2021/04,4191
,35-39 years,35-39,2021,2021,"May, 2021",2021/05,4403
,35-39 years,35-39,2021,2021,"Jun., 2021",2021/06,4309
,35-39 years,35-39,2021,2021,"Jul., 2021",2021/07,4493
,35-39 years,35-39,2021,2021,"Aug., 2021",2021/08,5614
,35-39 years,35-39,2021,2021,"Sep., 2021",2021/09,5809
,35-39 years,35-39,2021,2021,"oct., 2021",2021/10,5116
,35-39 years,35-39,2021,2021,"nov., 2021",2021/11,4672
,35-39 years,35-39,2021,2021,"Dec., 2021",2021/12,4871
Total,35-39 years,35-39,2021,2021,,,56403
,35-39 years,35-39,2022,2022,"Jan., 2022",2022/01,5052
,35-39 years,35-39,2022,2022,"Feb., 2022",2022/02,4173
,35-39 years,35-39,2022,2022,"Mar., 2022",2022/03,4108
,35-39 years,35-39,2022,2022,"Apr., 2022",2022/04,3830
,35-39 years,35-39,2022,2022,"May, 2022",2022/05,4134
,35-39 years,35-39,2022,2022,"Jun., 2022",2022/06,4080
,35-39 years,35-39,2022,2022,"Jul., 2022",2022/07,4347
,35-39 years,35-39,2022,2022,"Aug., 2022",2022/08,4192
,35-39 years,35-39,2022,2022,"Sep., 2022",2022/09,4090
,35-39 years,35-39,2022,2022,"oct., 2022",2022/10,4009
,35-39 years,35-39,2022,2022,"nov., 2022",2022/11,4067
,35-39 years,35-39,2022,2022,"Dec., 2022",2022/12,4390
Total,35-39 years,35-39,2022,2022,,,50472
,35-39 years,35-39,2023,2023,"Jan., 2023 ",2023/01,4055
,35-39 years,35-39,2023,2023,"Feb., 2023 ",2023/02,3586
,35-39 years,35-39,2023,2023,"Mar., 2023 ",2023/03,4053
,35-39 years,35-39,2023,2023,"Apr., 2023 ",2023/04,4001
,35-39 years,35-39,2023,2023,"May, 2023 ",2023/05,4022
,35-39 years,35-39,2023,2023,"Jun., 2023 ",2023/06,3922
,35-39 years,35-39,2023,2023,"Jul., 2023 ",2023/07,4178
,35-39 years,35-39,2023,2023,"Aug., 2023 ",2023/08,4022
,35-39 years,35-39,2023,2023,"Sep., 2023 ",2023/09,3800
,35-39 years,35-39,2023,2023,"oct., 2023",2023/10,3742
,35-39 years,35-39,2023,2023,"nov., 2023",2023/11,3733
,35-39 years,35-39,2023,2023,"Dec., 2023 ",2023/12,3869
Total,35-39 years,35-39,2023,2023,,,46983
Total,35-39 years,35-39,,,,,153858
,40-44 years,40-44,2021,2021,"Jan., 2021",2021/01,5776
,40-44 years,40-44,2021,2021,"Feb., 2021",2021/02,4697
,40-44 years,40-44,2021,2021,"Mar., 2021",2021/03,5092
,40-44 years,40-44,2021,2021,"Apr., 2021",2021/04,5131
,40-44 years,40-44,2021,2021,"May, 2021",2021/05,5082
,40-44 years,40-44,2021,2021,"Jun., 2021",2021/06,5096
,40-44 years,40-44,2021,2021,"Jul., 2021",2021/07,5443
,40-44 years,40-44,2021,2021,"Aug., 2021",2021/08,7000
,40-44 years,40-44,2021,2021,"Sep., 2021",2021/09,7229
,40-44 years,40-44,2021,2021,"oct., 2021",2021/10,6292
,40-44 years,40-44,2021,2021,"nov., 2021",2021/11,5547
