Notes,Five-Year Age Groups,Five-Year Age Groups Code,Year,Year Code,Month,Month Code,Deaths
,60-64 years ,60-64,2023,2023,"Apr., 2023 ",2023/04,153
,60-64 years ,60-64,2023,2023,"May, 2023 ",2023/05,106
,60-64 years ,60-64,2023,2023,"Jun., 2023 ",2023/06,77
,60-64 years ,60-64,2023,2023,"Jul., 2023 ",2023/07,74
,60-64 years ,60-64,2023,2023,"Aug., 2023 ",2023/08,135
,60-64 years ,60-64,2023,2023,"Sep., 2023 ",2023/09,193
,60-64 years ,60-64,2023,2023,"oct., 2023",2023/10,173
,60-64 years ,60-64,2023,2023,"nov., 2023",2023/11,187
,60-64 years ,60-64,2023,2023,"Dec., 2023 ",2023/12,258
,65-69 years,65-69,2020,2020,"Mar., 2020",2020/03,678
,65-69 years,65-69,2020,2020,"Apr., 2020",2020/04,5844
,65-69 years,65-69,2020,2020,"May, 2020",2020/05,3294
,65-69 years,65-69,2020,2020,"Jun., 2020",2020/06,1515
,65-69 years,65-69,2020,2020,"Jul., 2020",2020/07,3005
,65-69 years,65-69,2020,2020,"Aug., 2020",2020/08,2909
,65-69 years,65-69,2020,2020,"Sep., 2020",2020/09,1714
,65-69 years,65-69,2020,2020,"oct., 2020",2020/10,2059
,65-69 years,65-69,2020,2020,"nov., 2020",2020/11,4248
,65-69 years,65-69,2020,2020,"Dec., 2020",2020/12,8234
,65-69 years,65-69,2021,2021,"Jan., 2021",2021/01,9677
,65-69 years,65-69,2021,2021,"Feb., 2021",2021/02,4894
,65-69 years,65-69,2021,2021,"Mar., 2021",2021/03,2455
,65-69 years,65-69,2021,2021,"Apr., 2021",2021/04,1986
,65-69 years,65-69,2021,2021,"May, 2021",2021/05,1604
,65-69 years,65-69,2021,2021,"Jun., 2021",2021/06,850
,65-69 years,65-69,2021,2021,"Jul., 2021",2021/07,1093
,65-69 years,65-69,2021,2021,"Aug., 2021",2021/08,5142
,65-69 years,65-69,2021,2021,"Sep., 2021",2021/09,7108
,65-69 years,65-69,2021,2021,"oct., 2021",2021/10,4768
,65-69 years,65-69,2021,2021,"nov., 2021",2021/11,3470
,65-69 years,65-69,2021,2021,"Dec., 2021",2021/12,5102
,65-69 years,65-69,2022,2022,"Jan., 2022",2022/01,7952
,65-69 years,65-69,2022,2022,"Feb., 2022",2022/02,4741
,65-69 years,65-69,2022,2022,"Mar., 2022",2022/03,1305
,65-69 years,65-69,2022,2022,"Apr., 2022",2022/04,341
,65-69 years,65-69,2022,2022,"May, 2022",2022/05,392
,65-69 years,65-69,2022,2022,"Jun., 2022",2022/06,444
,65-69 years,65-69,2022,2022,"Jul., 2022",2022/07,662
,65-69 years,65-69,2022,2022,"Aug., 2022",2022/08,731
,65-69 years,65-69,2022,2022,"Sep., 2022",2022/09,564
,65-69 years,65-69,2022,2022,"oct., 2022",2022/10,435
,65-69 years,65-69,2022,2022,"nov., 2022",2022/11,483
,65-69 years,65-69,2022,2022,"Dec., 2022",2022/12,732
,65-69 years,65-69,2023,2023,"Jan., 2023 ",2023/01,747
,65-69 years,65-69,2023,2023,"Feb., 2023 ",2023/02,448
,65-69 years,65-69,2023,2023,"Mar., 2023 ",2023/03,351
,65-69 years,65-69,2023,2023,"Apr., 2023 ",2023/04,231
,65-69 years,65-69,2023,2023,"May, 2023 ",2023/05,138
,65-69 years,65-69,2023,2023,"Jun., 2023 ",2023/06,103
,65-69 years,65-69,2023,2023,"Jul., 2023 ",2023/07,95
,65-69 years,65-69,2023,2023,"Aug., 2023 ",2023/08,177
,65-69 years,65-69,2023,2023,"Sep., 2023 ",2023/09,302
,65-69 years,65-69,2023,2023,"oct., 2023",2023/10,258
,65-69 years,65-69,2023,2023,"nov., 2023",2023/11,298
,65-69 years,65-69,2023,2023,"Dec., 2023 ",2023/12,420
,70-74 years,70-74,2020,2020,"Mar., 2020",2020/03,850
,70-74 years,70-74,2020,2020,"Apr., 2020",2020/04,7300
,70-74 years,70-74,2020,2020,"May, 2020",2020/05,3958
,70-74 years,70-74,2020,2020,"Jun., 2020",2020/06,1870
,70-74 years,70-74,2020,2020,"Jul., 2020",2020/07,3543
,70-74 years,70-74,2020,2020,"Aug., 2020",2020/08,3465
,70-74 years,70-74,2020,2020,"Sep., 2020",2020/09,2242
,70-74 years,70-74,2020,2020,"oct., 2020",2020/10,2802
,70-74 years,70-74,2020,2020,"nov., 2020",2020/11,5842
,70-74 years,70-74,2020,2020,"Dec., 2020",2020/12,10902
,70-74 years,70-74,2021,2021,"Jan., 2021",2021/01,12709
,70-74 years,70-74,2021,2021,"Feb., 2021",2021/02,6073
,70-74 years,70-74,2021,2021,"Mar., 2021",2021/03,2876
,70-74 years,70-74,2021,2021,"Apr., 2021",2021/04,2109
,70-74 years,70-74,2021,2021,"May, 2021",2021/05,1755
,70-74 years,70-74,2021,2021,"Jun., 2021",2021/06,832
,70-74 years,70-74,2021,2021,"Jul., 2021",2021/07,1153
,70-74 years,70-74,2021,2021,"Aug., 2021",2021/08,5568
,70-74 years,70-74,2021,2021,"Sep., 2021",2021/09,7295
,70-74 years,70-74,2021,2021,"oct., 2021",2021/10,4901
,70-74 years,70-74,2021,2021,"nov., 2021",2021/11,3725
,70-74 years,70-74,2021,2021,"Dec., 2021",2021/12,5571
,70-74 years,70-74,2022,2022,"Jan., 2022",2022/01,9253
,70-74 years,70-74,2022,2022,"Feb., 2022",2022/02,5713
,70-74 years,70-74,2022,2022,"Mar., 2022",2022/03,1596
,70-74 years,70-74,2022,2022,"Apr., 2022",2022/04,446
,70-74 years,70-74,2022,2022,"May, 2022",2022/05,514
,70-74 years,70-74,2022,2022,"Jun., 2022",2022/06,593
,70-74 years,70-74,2022,2022,"Jul., 2022",2022/07,946
,70-74 years,70-74,2022,2022,"Aug., 2022",2022/08,1048
,70-74 years,70-74,2022,2022,"Sep., 2022",2022/09,795
,70-74 years,70-74,2022,2022,"oct., 2022",2022/10,650
,70-74 years,70-74,2022,2022,"nov., 2022",2022/11,681
,70-74 years,70-74,2022,2022,"Dec., 2022",2022/12,1045
,70-74 years,70-74,2023,2023,"Jan., 2023 ",2023/01,1105
,70-74 years,70-74,2023,2023,"Feb., 2023 ",2023/02,613
,70-74 years,70-74,2023,2023,"Mar., 2023 ",2023/03,515
,70-74 years,70-74,2023,2023,"Apr., 2023 ",2023/04,338
,70-74 years,70-74,2023,2023,"May, 2023 ",2023/05,230
,70-74 years,70-74,2023,2023,"Jun., 2023 ",2023/06,159
,70-74 years,70-74,2023,2023,"Jul., 2023 ",2023/07,145
,70-74 years,70-74,2023,2023,"Aug., 2023 ",2023/08,287
,70-74 years,70-74,2023,2023,"Sep., 2023 ",2023/09,460
,70-74 years,70-74,2023,2023,"oct., 2023",2023/10,421
,70-74 years,70-74,2023,2023,"nov., 2023",2023/11,422
,70-74 years,70-74,2023,2023,"Dec., 2023 ",2023/12,631
,75-79 years,75-79,2020,2020,"Mar., 2020",2020/03,878
,75-79 years,75-79,2020,2020,"Apr., 2020",2020/04,8052
,75-79 years,75-79,2020,2020,"May, 2020",2020/05,4340
,75-79 years,75-79,2020,2020,"Jun., 2020",2020/06,1891
,75-79 years,75-79,2020,2020,"Jul., 2020",2020/07,3621
,75-79 years,75-79,2020,2020,"Aug., 2020",2020/08,3620
,75-79 years,75-79,2020,2020,"Sep., 2020",2020/09,2273
,75-79 years,75-79,2020,2020,"oct., 2020",2020/10,3151
,75-79 years,75-79,2020,2020,"nov., 2020",2020/11,6773
,75-79 years,75-79,2020,2020,"Dec., 2020",2020/12,12599
,75-79 years,75-79,2021,2021,"Jan., 2021",2021/01,13789
,75-79 years,75-79,2021,2021,"Feb., 2021",2021/02,6044
,75-79 years,75-79,2021,2021,"Mar., 2021",2021/03,2648
,75-79 years,75-79,2021,2021,"Apr., 2021",2021/04,1922
,75-79 years,75-79,2021,2021,"May, 2021",2021/05,1514
,75-79 years,75-79,2021,2021,"Jun., 2021",2021/06,722
,75-79 years,75-79,2021,2021,"Jul., 2021",2021/07,1048
,75-79 years,75-79,2021,2021,"Aug., 2021",2021/08,4786
,75-79 years,75-79,2021,2021,"Sep., 2021",2021/09,6309
,75-79 years,75-79,2021,2021,"oct., 2021",2021/10,4226
,75-79 years,75-79,2021,2021,"nov., 2021",2021/11,3477
,75-79 years,75-79,2021,2021,"Dec., 2021",2021/12,5098
,75-79 years,75-79,2022,2022,"Jan., 2022",2022/01,9813
,75-79 years,75-79,2022,2022,"Feb., 2022",2022/02,5987
,75-79 years,75-79,2022,2022,"Mar., 2022",2022/03,1619
,75-79 years,75-79,2022,2022,"Apr., 2022",2022/04,543
,75-79 years,75-79,2022,2022,"May, 2022",2022/05,578
,75-79 years,75-79,2022,2022,"Jun., 2022",2022/06,824
,75-79 years,75-79,2022,2022,"Jul., 2022",2022/07,1179
,75-79 years,75-79,2022,2022,"Aug., 2022",2022/08,1263
,75-79 years,75-79,2022,2022,"Sep., 2022",2022/09,910
,75-79 years,75-79,2022,2022,"oct., 2022",2022/10,802
,75-79 years,75-79,2022,2022,"nov., 2022",2022/11,824
,75-79 years,75-79,2022,2022,"Dec., 2022",2022/12,1368
,75-79 years,75-79,2023,2023,"Jan., 2023 ",2023/01,1383
,75-79 years,75-79,2023,2023,"Feb., 2023 ",2023/02,847
,75-79 years,75-79,2023,2023,"Mar., 2023 ",2023/03,706
,75-79 years,75-79,2023,2023,"Apr., 2023 ",2023/04,461
,75-79 years,75-79,2023,2023,"May, 2023 ",2023/05,321
,75-79 years,75-79,2023,2023,"Jun., 2023 ",2023/06,218
,75-79 years,75-79,2023,2023,"Jul., 2023 ",2023/07,199
,75-79 years,75-79,2023,2023,"Aug., 2023 ",2023/08,388
,75-79 years,75-79,2023,2023,"Sep., 2023 ",2023/09,566
,75-79 years,75-79,2023,2023,"oct., 2023",2023/10,592
,75-79 years,75-79,2023,2023,"nov., 2023",2023/11,615
,75-79 years,75-79,2023,2023,"Dec., 2023 ",2023/12,842
,80-84 years,80-84,2020,2020,"Mar., 2020",2020/03,906
,80-84 years,80-84,2020,2020,"Apr., 2020",2020/04,8734
,80-84 years,80-84,2020,2020,"May, 2020",2020/05,4668
,80-84 years,80-84,2020,2020,"Jun., 2020",2020/06,2057
,80-84 years,80-84,2020,2020,"Jul., 2020",2020/07,3692
,80-84 years,80-84,2020,2020,"Aug., 2020",2020/08,3673
,80-84 years,80-84,2020,2020,"Sep., 2020",2020/09,2335
,80-84 years,80-84,2020,2020,"oct., 2020",2020/10,3204
,80-84 years,80-84,2020,2020,"nov., 2020",2020/11,7453
,80-84 years,80-84,2020,2020,"Dec., 2020",2020/12,13105
,80-84 years,80-84,2021,2021,"Jan., 2021",2021/01,13788
,80-84 years,80-84,2021,2021,"Feb., 2021",2021/02,5873
,80-84 years,80-84,2021,2021,"Mar., 2021",2021/03,2335
,80-84 years,80-84,2021,2021,"Apr., 2021",2021/04,1741
,80-84 years,80-84,2021,2021,"May, 2021",2021/05,1257
,80-84 years,80-84,2021,2021,"Jun., 2021",2021/06,620
,80-84 years,80-84,2021,2021,"Jul., 2021",2021/07,955
,80-84 years,80-84,2021,2021,"Aug., 2021",2021/08,4257
,80-84 years,80-84,2021,2021,"Sep., 2021",2021/09,5220
,80-84 years,80-84,2021,2021,"oct., 2021",2021/10,3542
,80-84 years,80-84,2021,2021,"nov., 2021",2021/11,3098
,80-84 years,80-84,2021,2021,"Dec., 2021",2021/12,4538
,80-84 years,80-84,2022,2022,"Jan., 2022",2022/01,9096
,80-84 years,80-84,2022,2022,"Feb., 2022",2022/02,5517
,80-84 years,80-84,2022,2022,"Mar., 2022",2022/03,1436
,80-84 years,80-84,2022,2022,"Apr., 2022",2022/04,466
,80-84 years,80-84,2022,2022,"May, 2022",2022/05,685
,80-84 years,80-84,2022,2022,"Jun., 2022",2022/06,957
,80-84 years,80-84,2022,2022,"Jul., 2022",2022/07,1301
,80-84 years,80-84,2022,2022,"Aug., 2022",2022/08,1433
,80-84 years,80-84,2022,2022,"Sep., 2022",2022/09,1049
,80-84 years,80-84,2022,2022,"oct., 2022",2022/10,981
,80-84 years,80-84,2022,2022,"nov., 2022",2022/11,1049
,80-84 years,80-84,2022,2022,"Dec., 2022",2022/12,1508
,80-84 years,80-84,2023,2023,"Jan., 2023 ",2023/01,1558
,80-84 years,80-84,2023,2023,"Feb., 2023 ",2023/02,1001
,80-84 years,80-84,2023,2023,"Mar., 2023 ",2023/03,805
,80-84 years,80-84,2023,2023,"Apr., 2023 ",2023/04,477
,80-84 years,80-84,2023,2023,"May, 2023 ",2023/05,346
,80-84 years,80-84,2023,2023,"Jun., 2023 ",2023/06,266
,80-84 years,80-84,2023,2023,"Jul., 2023 ",2023/07,236
,80-84 years,80-84,2023,2023,"Aug., 2023 ",2023/08,464
,80-84 years,80-84,2023,2023,"Sep., 2023 ",2023/09,735
,80-84 years,80-84,2023,2023,"oct., 2023",2023/10,650
,80-84 years,80-84,2023,2023,"nov., 2023",2023/11,721
,80-84 years,80-84,2023,2023,"Dec., 2023 ",2023/12,1020
,85-89 years,85-89,2020,2020,"Mar., 2020",2020/03,797
,85-89 years,85-89,2020,2020,"Apr., 2020",2020/04,8881
,85-89 years,85-89,2020,2020,"May, 2020",2020/05,5252
,85-89 years,85-89,2020,2020,"Jun., 2020",2020/06,1983
,85-89 years,85-89,2020,2020,"Jul., 2020",2020/07,3383
,85-89 years,85-89,2020,2020,"Aug., 2020",2020/08,3457
,85-89 years,85-89,2020,2020,"Sep., 2020",2020/09,2201
,85-89 years,85-89,2020,2020,"oct., 2020",2020/10,3140
,85-89 years,85-89,2020,2020,"nov., 2020",2020/11,7250
,85-89 years,85-89,2020,2020,"Dec., 2020",2020/12,13443
,85-89 years,85-89,2021,2021,"Jan., 2021",2021/01,12946
,85-89 years,85-89,2021,2021,"Feb., 2021",2021/02,4959
,85-89 years,85-89,2021,2021,"Mar., 2021",2021/03,1909
,85-89 years,85-89,2021,2021,"Apr., 2021",2021/04,1454
,85-89 years,85-89,2021,2021,"May, 2021",2021/05,1002
,85-89 years,85-89,2021,2021,"Jun., 2021",2021/06,485
,85-89 years,85-89,2021,2021,"Jul., 2021",2021/07,782
,85-89 years,85-89,2021,2021,"Aug., 2021",2021/08,3208
,85-89 years,85-89,2021,2021,"Sep., 2021",2021/09,4053
,85-89 years,85-89,2021,2021,"oct., 2021",2021/10,2965
,85-89 years,85-89,2021,2021,"nov., 2021",2021/11,2539
,85-89 years,85-89,2021,2021,"Dec., 2021",2021/12,3598
,85-89 years,85-89,2022,2022,"Jan., 2022",2022/01,8171
,85-89 years,85-89,2022,2022,"Feb., 2022",2022/02,4706
,85-89 years,85-89,2022,2022,"Mar., 2022",2022/03,1198
,85-89 years,85-89,2022,2022,"Apr., 2022",2022/04,483
,85-89 years,85-89,2022,2022,"May, 2022",2022/05,729
,85-89 years,85-89,2022,2022,"Jun., 2022",2022/06,971
,85-89 years,85-89,2022,2022,"Jul., 2022",2022/07,1465
,85-89 years,85-89,2022,2022,"Aug., 2022",2022/08,1473
,85-89 years,85-89,2022,2022,"Sep., 2022",2022/09,1158
,85-89 years,85-89,2022,2022,"oct., 2022",2022/10,934
,85-89 years,85-89,2022,2022,"nov., 2022",2022/11,1053
,85-89 years,85-89,2022,2022,"Dec., 2022",2022/12,1654
,85-89 years,85-89,2023,2023,"Jan., 2023 ",2023/01,1725
,85-89 years,85-89,2023,2023,"Feb., 2023 ",2023/02,918
,85-89 years,85-89,2023,2023,"Mar., 2023 ",2023/03,827
,85-89 years,85-89,2023,2023,"Apr., 2023 ",2023/04,553
,85-89 years,85-89,2023,2023,"May, 2023 ",2023/05,374
,85-89 years,85-89,2023,2023,"Jun., 2023 ",2023/06,247
,85-89 years,85-89,2023,2023,"Jul., 2023 ",2023/07,242
,85-89 years,85-89,2023,2023,"Aug., 2023 ",2023/08,467
,85-89 years,85-89,2023,2023,"Sep., 2023 ",2023/09,743
,85-89 years,85-89,2023,2023,"oct., 2023",2023/10,671
,85-89 years,85-89,2023,2023,"nov., 2023",2023/11,783
,85-89 years,85-89,2023,2023,"Dec., 2023 ",2023/12,1033
,90-94 years,90-94,2020,2020,"Mar., 2020",2020/03,578
,90-94 years,90-94,2020,2020,"Apr., 2020",2020/04,7132
,90-94 years,90-94,2020,2020,"May, 2020",2020/05,4602
,90-94 years,90-94,2020,2020,"Jun., 2020",2020/06,1733
,90-94 years,90-94,2020,2020,"Jul., 2020",2020/07,2495
,90-94 years,90-94,2020,2020,"Aug., 2020",2020/08,2420
,90-94 years,90-94,2020,2020,"Sep., 2020",2020/09,1664
,90-94 years,90-94,2020,2020,"oct., 2020",2020/10,2442
,90-94 years,90-94,2020,2020,"nov., 2020",2020/11,5715
,90-94 years,90-94,2020,2020,"Dec., 2020",2020/12,10360
,90-94 years,90-94,2021,2021,"Jan., 2021",2021/01,9710
,90-94 years,90-94,2021,2021,"Feb., 2021",2021/02,3577
,90-94 years,90-94,2021,2021,"Mar., 2021",2021/03,1260
,90-94 years,90-94,2021,2021,"Apr., 2021",2021/04,910
,90-94 years,90-94,2021,2021,"May, 2021",2021/05,621
,90-94 years,90-94,2021,2021,"Jun., 2021",2021/06,297
,90-94 years,90-94,2021,2021,"Jul., 2021",2021/07,434
,90-94 years,90-94,2021,2021,"Aug., 2021",2021/08,2074
,90-94 years,90-94,2021,2021,"Sep., 2021",2021/09,2569
,90-94 years,90-94,2021,2021,"oct., 2021",2021/10,2002
,90-94 years,90-94,2021,2021,"nov., 2021",2021/11,1780
,90-94 years,90-94,2021,2021,"Dec., 2021",2021/12,2355
,90-94 years,90-94,2022,2022,"Jan., 2022",2022/01,5812
,90-94 years,90-94,2022,2022,"Feb., 2022",2022/02,3270
,90-94 years,90-94,2022,2022,"Mar., 2022",2022/03,875
,90-94 years,90-94,2022,2022,"Apr., 2022",2022/04,359
,90-94 years,90-94,2022,2022,"May, 2022",2022/05,669
,90-94 years,90-94,2022,2022,"Jun., 2022",2022/06,911
,90-94 years,90-94,2022,2022,"Jul., 2022",2022/07,1264
,90-94 years,90-94,2022,2022,"Aug., 2022",2022/08,1237
,90-94 years,90-94,2022,2022,"Sep., 2022",2022/09,978
,90-94 years,90-94,2022,2022,"oct., 2022",2022/10,919
,90-94 years,90-94,2022,2022,"nov., 2022",2022/11,906
,90-94 years,90-94,2022,2022,"Dec., 2022",2022/12,1345
,90-94 years,90-94,2023,2023,"Jan., 2023 ",2023/01,1445
,90-94 years,90-94,2023,2023,"Feb., 2023 ",2023/02,790
,90-94 years,90-94,2023,2023,"Mar., 2023 ",2023/03,668
,90-94 years,90-94,2023,2023,"Apr., 2023 ",2023/04,457
,90-94 years,90-94,2023,2023,"May, 2023 ",2023/05,261
,90-94 years,90-94,2023,2023,"Jun., 2023 ",2023/06,225
,90-94 years,90-94,2023,2023,"Jul., 2023 ",2023/07,198
,90-94 years,90-94,2023,2023,"Aug., 2023 ",2023/08,359
,90-94 years,90-94,2023,2023,"Sep., 2023 ",2023/09,567
,90-94 years,90-94,2023,2023,"oct., 2023",2023/10,560
,90-94 years,90-94,2023,2023,"nov., 2023",2023/11,576
,90-94 years,90-94,2023,2023,"Dec., 2023 ",2023/12,845
,95-99 years,95-99,2020,2020,"Mar., 2020",2020/03,221
,95-99 years,95-99,2020,2020,"Apr., 2020",2020/04,3174
,95-99 years,95-99,2020,2020,"May, 2020",2020/05,2140
,95-99 years,95-99,2020,2020,"Jun., 2020",2020/06,777
,95-99 years,95-99,2020,2020,"Jul., 2020",2020/07,1042
,95-99 years,95-99,2020,2020,"Aug., 2020",2020/08,983
,95-99 years,95-99,2020,2020,"Sep., 2020",2020/09,665
,95-99 years,95-99,2020,2020,"oct., 2020",2020/10,1110
,95-99 years,95-99,2020,2020,"nov., 2020",2020/11,2473
,95-99 years,95-99,2020,2020,"Dec., 2020",2020/12,4569
,95-99 years,95-99,2021,2021,"Jan., 2021",2021/01,4132
,95-99 years,95-99,2021,2021,"Feb., 2021",2021/02,1486
,95-99 years,95-99,2021,2021,"Mar., 2021",2021/03,488
,95-99 years,95-99,2021,2021,"Apr., 2021",2021/04,360
,95-99 years,95-99,2021,2021,"May, 2021",2021/05,239
,95-99 years,95-99,2021,2021,"Jun., 2021",2021/06,129
,95-99 years,95-99,2021,2021,"Jul., 2021",2021/07,168
,95-99 years,95-99,2021,2021,"Aug., 2021",2021/08,809
,95-99 years,95-99,2021,2021,"Sep., 2021",2021/09,1019
,95-99 years,95-99,2021,2021,"oct., 2021",2021/10,818
,95-99 years,95-99,2021,2021,"nov., 2021",2021/11,724
,95-99 years,95-99,2021,2021,"Dec., 2021",2021/12,919
,95-99 years,95-99,2022,2022,"Jan., 2022",2022/01,2536
,95-99 years,95-99,2022,2022,"Feb., 2022",2022/02,1367
,95-99 years,95-99,2022,2022,"Mar., 2022",2022/03,339
,95-99 years,95-99,2022,2022,"Apr., 2022",2022/04,165
,95-99 years,95-99,2022,2022,"May, 2022",2022/05,349
,95-99 years,95-99,2022,2022,"Jun., 2022",2022/06,462
,95-99 years,95-99,2022,2022,"Jul., 2022",2022/07,604
,95-99 years,95-99,2022,2022,"Aug., 2022",2022/08,658
,95-99 years,95-99,2022,2022,"Sep., 2022",2022/09,490
,95-99 years,95-99,2022,2022,"oct., 2022",2022/10,458
,95-99 years,95-99,2022,2022,"nov., 2022",2022/11,462
,95-99 years,95-99,2022,2022,"Dec., 2022",2022/12,708
,95-99 years,95-99,2023,2023,"Jan., 2023 ",2023/01,702
,95-99 years,95-99,2023,2023,"Feb., 2023 ",2023/02,375
,95-99 years,95-99,2023,2023,"Mar., 2023 ",2023/03,320
,95-99 years,95-99,2023,2023,"Apr., 2023 ",2023/04,212
,95-99 years,95-99,2023,2023,"May, 2023 ",2023/05,137
,95-99 years,95-99,2023,2023,"Jun., 2023 ",2023/06,105
,95-99 years,95-99,2023,2023,"Jul., 2023 ",2023/07,120
,95-99 years,95-99,2023,2023,"Aug., 2023 ",2023/08,199
,95-99 years,95-99,2023,2023,"Sep., 2023 ",2023/09,287
,95-99 years,95-99,2023,2023,"oct., 2023",2023/10,300
,95-99 years,95-99,2023,2023,"nov., 2023",2023/11,283
,95-99 years,95-99,2023,2023,"Dec., 2023 ",2023/12,420
,100+ years,100+,2020,2020,"Mar., 2020",2020/03,33
,100+ years,100+,2020,2020,"Apr., 2020",2020/04,588
,100+ years,100+,2020,2020,"May, 2020",2020/05,462
,100+ years,100+,2020,2020,"Jun., 2020",2020/06,160
,100+ years,100+,2020,2020,"Jul., 2020",2020/07,202
,100+ years,100+,2020,2020,"Aug., 2020",2020/08,180
,100+ years,100+,2020,2020,"Sep., 2020",2020/09,130
,100+ years,100+,2020,2020,"oct., 2020",2020/10,245
,100+ years,100+,2020,2020,"nov., 2020",2020/11,510
,100+ years,100+,2020,2020,"Dec., 2020",2020/12,934
,100+ years,100+,2021,2021,"Jan., 2021",2021/01,832
,100+ years,100+,2021,2021,"Feb., 2021",2021/02,248
,100+ years,100+,2021,2021,"Mar., 2021",2021/03,98
,100+ years,100+,2021,2021,"Apr., 2021",2021/04,71
,100+ years,100+,2021,2021,"May, 2021",2021/05,47
,100+ years,100+,2021,2021,"Jun., 2021",2021/06,23
,100+ years,100+,2021,2021,"Jul., 2021",2021/07,32
,100+ years,100+,2021,2021,"Aug., 2021",2021/08,142
,100+ years,100+,2021,2021,"Sep., 2021",2021/09,189
,100+ years,100+,2021,2021,"oct., 2021",2021/10,159
,100+ years,100+,2021,2021,"nov., 2021",2021/11,139
,100+ years,100+,2021,2021,"Dec., 2021",2021/12,174
,100+ years,100+,2022,2022,"Jan., 2022",2022/01,554
,100+ years,100+,2022,2022,"Feb., 2022",2022/02,251
,100+ years,100+,2022,2022,"Mar., 2022",2022/03,79
,100+ years,100+,2022,2022,"Apr., 2022",2022/04,53
,100+ years,100+,2022,2022,"May, 2022",2022/05,92
,100+ years,100+,2022,2022,"Jun., 2022",2022/06,105
,100+ years,100+,2022,2022,"Jul., 2022",2022/07,157
,100+ years,100+,2022,2022,"Aug., 2022",2022/08,147
,100+ years,100+,2022,2022,"Sep., 2022",2022/09,112
,100+ years,100+,2022,2022,"oct., 2022",2022/10,97
,100+ years,100+,2022,2022,"nov., 2022",2022/11,112
,100+ years,100+,2022,2022,"Dec., 2022",2022/12,173
,100+ years,100+,2023,2023,"Jan., 2023 ",2023/01,169
,100+ years,100+,2023,2023,"Feb., 2023 ",2023/02,87
,100+ years,100+,2023,2023,"Mar., 2023 ",2023/03,81
,100+ years,100+,2023,2023,"Apr., 2023 ",2023/04,65
,100+ years,100+,2023,2023,"May, 2023 ",2023/05,25
,100+ years,100+,2023,2023,"Jun., 2023 ",2023/06,23
,100+ years,100+,2023,2023,"Jul., 2023 ",2023/07,29
,100+ years,100+,2023,2023,"Aug., 2023 ",2023/08,49
,100+ years,100+,2023,2023,"Sep., 2023 ",2023/09,54
,100+ years,100+,2023,2023,"oct., 2023",2023/10,57
,100+ years,100+,2023,2023,"nov., 2023",2023/11,67
,100+ years,100+,2023,2023,"Dec., 2023 ",2023/12,86
