week,excess
2024-07-16,112.14
2024-07-23,110.541
2024-07-30,110.541
2024-08-06,113.1
2024-08-13,108.622
2024-08-20,104.145
2024-08-27,102.546
2024-09-03,102.546
2024-09-10,101.587
2024-09-17,99.348
2024-09-24,100.627
2024-10-01,102.546
2024-10-08,105.424
2024-10-15,108.622
2024-10-22,106.384
2024-10-29,106.384
2024-11-05,112.14
2024-11-12,116.937
2024-11-19,121.415
2024-11-26,123.653
2024-12-03,123.973
2024-12-10,126.212
2024-12-17,130.049
2024-12-24,131.009
2024-12-31,126.212
