week,excess,confidence,is_outlier,needs_review
2021-07-27,21.9,0.63,FALSE,FALSE
2021-08-03,21.956,1,FALSE,FALSE
2021-08-10,23.875,1,FALSE,FALSE
2021-08-17,25.793,0.97,FALSE,FALSE
2021-08-24,26.113,1,FALSE,FALSE
2021-08-31,25.154,0.91,FALSE,FALSE
2021-09-07,25.793,0.91,FALSE,FALSE
2021-09-14,28.032,1,FALSE,FALSE
2021-09-21,30.271,1,FALSE,FALSE
2021-09-28,29.631,1,FALSE,FALSE
2021-10-05,31.55,1,FALSE,FALSE
2021-10-12,33.788,1,FALSE,FALSE
2021-10-19,31.23,1,FALSE,FALSE
2021-10-26,29.311,1,FALSE,FALSE
2021-11-02,27.712,0.83,FALSE,FALSE
2021-11-09,27.392,1,FALSE,FALSE
2021-11-16,28.032,1,FALSE,FALSE
2021-11-23,29.951,0.89,FALSE,FALSE
2021-11-30,32.829,1,FALSE,FALSE
2021-12-07,36.667,1,FALSE,FALSE
2021-12-14,38.585,0.8,FALSE,FALSE
2021-12-21,39.545,0.91,FALSE,FALSE
2021-12-28,41.464,0.74,FALSE,FALSE
2022-01-04,43.063,1,FALSE,FALSE
2022-01-11,45.621,1,FALSE,FALSE
2022-01-18,43.383,1,FALSE,FALSE
2022-01-25,40.185,1,FALSE,FALSE
2022-02-01,35.068,1,FALSE,FALSE
2022-02-08,32.509,1,FALSE,FALSE
2022-02-15,29.631,1,FALSE,FALSE
2022-02-22,25.474,1,FALSE,FALSE
2022-03-01,22,1,FALSE,FALSE
2022-03-08,24.514,1,FALSE,FALSE
2022-03-15,29.631,1,FALSE,FALSE
2022-03-22,32.509,1,FALSE,FALSE
2022-03-29,31.55,1,FALSE,FALSE
2022-04-05,33.149,1,FALSE,FALSE
2022-04-12,37.946,1,FALSE,FALSE
2022-04-19,39.545,1,FALSE,FALSE
2022-04-26,38.905,1,FALSE,FALSE
2022-05-03,42.103,1,FALSE,FALSE
2022-05-10,47.22,1,FALSE,FALSE
2022-05-17,50.418,1,FALSE,FALSE
2022-05-24,49.459,0.74,FALSE,FALSE
2022-05-31,50.418,0.66,FALSE,FALSE
2022-06-07,55.215,1,FALSE,FALSE
2022-06-14,53.936,1,FALSE,FALSE
2022-06-21,58.733,0.89,FALSE,FALSE
2022-06-28,60.652,1,FALSE,FALSE
2022-07-05,59.053,1,FALSE,FALSE
2022-07-12,63.85,1,FALSE,FALSE
2022-07-19,64.809,1,FALSE,FALSE
2022-07-26,68.327,1,FALSE,FALSE
2022-08-02,72.165,1,FALSE,FALSE
2022-08-09,72.804,1,FALSE,FALSE
2022-08-16,73.444,1,FALSE,FALSE
2022-08-23,72.485,1,FALSE,FALSE
2022-08-30,71.845,1,FALSE,FALSE
2022-09-06,67.688,1,FALSE,FALSE
2022-09-13,61.292,1,FALSE,FALSE
