Year,Week,MMWRWeekCode,Date,Deaths,baseline_1819_week,Excess_calc,Excess_TES,diff_calc_vs_TES,diff_pct_of_baseline
2019,39,2019/39,2019-09-28,385,416.5,-31.5,-18.979,-12.521,-3.0062424969988
2019,40,2019/40,2019-10-05,390,406.5,-16.5,-17.38,0.879999999999999,0.216482164821648
2019,41,2019/41,2019-10-12,394,411,-17,-15.781,-1.219,-0.296593673965937
2019,42,2019/42,2019-10-19,425,432.5,-7.5,-19.299,11.799,2.72809248554913
2019,43,2019/43,2019-10-26,385,410.5,-25.5,-20.578,-4.922,-1.19902557856273
2019,44,2019/44,2019-11-02,360,394,-34,-16.74,-17.26,-4.38071065989848
2019,45,2019/45,2019-11-09,412,413,-1,-9.065,8.065,1.95278450363196
2019,46,2019/46,2019-11-16,436,433,3,-8.426,11.426,2.63879907621247
2019,47,2019/47,2019-11-23,414,410.5,3.5,-8.426,11.926,2.90523751522534
2019,48,2019/48,2019-11-30,401,393,8,-5.867,13.867,3.52849872773537
2019,49,2019/49,2019-12-07,394,399.5,-5.5,0.849,-6.349,-1.5892365456821
2019,50,2019/50,2019-12-14,428,415,13,4.367,8.633,2.08024096385542
2019,51,2019/51,2019-12-21,414,410,4,7.245,-3.245,-0.791463414634146
2019,52,2019/52,2019-12-28,406,418,-12,14.92,-26.92,-6.44019138755981
2020,1,2020/01,2020-01-04,431,397,34,23.235,10.765,2.71158690176322
2020,2,2020/02,2020-01-11,427,401,26,35.068,-9.068,-2.26134663341646
2020,3,2020/03,2020-01-18,446,422.5,23.5,38,-14.5,-3.43195266272189
2020,4,2020/04,2020-01-25,418,439,-21,42,-63,-14.3507972665148
2020,5,2020/05,2020-02-01,414,447,-33,44,-77,-17.2259507829978
2020,6,2020/06,2020-02-08,461,435.5,25.5,40,-14.5,-3.32950631458094
2020,7,2020/07,2020-02-15,412,436.5,-24.5,28.672,-53.172,-12.1814432989691
2020,8,2020/08,2020-02-22,395,421.5,-26.5,18.758,-45.258,-10.7373665480427
2020,9,2020/09,2020-02-29,450,436.5,13.5,12.042,1.458,0.334020618556701
